student_id,age,education_level,career_goal,experience_level,study_hours_per_week,learning_style,interest_ai,interest_data_science,interest_web_dev,interest_backend,interest_frontend,interest_mobile,interest_cloud,interest_cybersecurity,python_score,cpp_score,java_score,javascript_score,html_score,css_score,sql_score,database_score,statistics_score,probability_score,linear_algebra_score,calculus_score,machine_learning_score,deep_learning_score,git_score,linux_score,docker_score,cloud_score,sessions_completed,avg_session_duration,projects_completed,quiz_attempts,quiz_avg_score,consistency_score,streak_days,target_completion_months,available_hours_weekly,recommended_next_topic,recommended_difficulty,learning_path_stage
STU00024,24,Bachelor,AI Engineer,Intermediate,14.32,Auditory,88.62,63.13,44.25,73.84,77.57,46.54,17.72,39.69,54.52,30.61,2.78,19.98,31.84,46.99,42.83,62.06,41.74,86.96,89.77,66.07,65.36,44.36,31.02,29.06,52.06,25.428588239948677,27,28.34,5,14,79.24,19.24,8.0,12,16.1,Linux,Medium,3
STU00025,23,Master,Full Stack Developer,Intermediate,58.32,Kinesthetic,65.89,38.34,78.96,70.63,31.51,57.57,45.29,45.55,53.06,0.0,26.92,55.86,26.36,13.49,96.3,34.55,39.81,60.19,51.58,3.12,14.33,7.29,85.47,51.58,37.88,16.5180055935341,22,23.86,2,8,47.18,52.79,16.0,12,11.8,Microservices,Medium,4
STU00026,34,Master,Software Engineer,Intermediate,8.69,Kinesthetic,24.17,66.64,8.5,36.73,38.88,62.2,21.16,8.93,49.31,54.33,27.24,38.74,43.7,30.38,32.45,31.71,12.18,2.58,3.59,27.4,51.35,0.0,72.87,24.14,32.95,29.320431133896346,14,39.87,6,15,35.55,42.64,0.0,12,7.3,Computer Vision,Medium,4
STU00027,17,Bachelor,ML Engineer,Beginner,8.84,Reading/Writing,72.77,66.84,21.51,13.72,58.06,34.21,49.28,35.17,64.76,18.18,16.97,0.0,24.88,24.16,36.22,24.28,46.74,60.8,76.98,38.6,73.36,63.9,29.74,11.18,0.0,29.45697462810618,21,62.22,3,5,56.795,38.85,2.0,2,24.7,Transformers,Medium,2
STU00028,18,Associate,Software Engineer,Beginner,9.7,Auditory,40.67,37.67,81.0,55.44,54.66,37.34,49.27,45.64,53.42,36.29,17.92,26.99,36.78,13.57,21.46,18.86,25.47,21.84,24.83,7.76,22.28,4.73,66.13,3.19,9.95,21.364846630425205,25,66.08,1,3,60.29,30.51,0.0,12,31.8,Linux,Medium,5
STU00029,27,Bachelor,Software Engineer,Intermediate,15.79,Reading/Writing,54.18,38.7,77.13,65.85,47.78,54.04,45.96,13.81,40.53,31.9,41.32,33.18,9.9,34.26,11.25,55.9,12.67,47.63,35.94,23.59,40.06,20.52,45.21,50.85,30.39,46.7634983545072,16,292.24,4,6,9.51,46.13,5.0,3,33.8,Linux,Medium,2
STU00030,32,Associate,Backend Developer,Intermediate,11.0,Auditory,16.26,34.88,77.05,91.72,45.91,26.32,34.34,32.67,50.44,35.07,18.38,45.61,51.91,27.06,96.61,39.69,42.1,47.13,26.29,21.07,15.03,0.0,50.59,38.11,17.32,17.36636279945561,3,33.98,12,5,54.95,76.81,11.0,6,10.4,Microservices,Hard,3
STU00031,23,Bachelor,Full Stack Developer,Intermediate,14.32,Visual,41.79,78.96,79.06,60.09,42.64,46.49,25.16,0.0,52.66,19.83,26.36,47.12,11.36,34.7,39.75,48.04,35.57,57.21,0.0,9.97,20.91,16.7,64.39,26.52,32.67,21.951311049937978,15,64.68,0,17,48.8,72.61,7.0,2,7.4,SQL,Hard,2
STU00032,23,Master,Cybersecurity Engineer,Beginner,12.7,Auditory,56.36,54.3,44.79,42.96,63.3,41.09,61.56,61.08,25.95,0.0,34.14,19.05,24.38,20.52,23.71,14.16,23.88,34.92,3.41,23.23,3.99,14.06,40.54,30.45,1.49,2.5600944160379737,6,55.6,1,4,52.72,62.55,13.0,6,13.6,Probability,Hard,1
STU00033,17,Bachelor,Data Scientist,Beginner,8.44,Auditory,77.78,61.02,45.81,51.63,45.04,4.5,33.99,0.0,42.25,10.77,32.46,20.19,18.43,36.39,43.06,35.08,58.12,48.1,41.38,49.55,77.86,36.63,21.4,30.22,13.52,44.047646780029034,13,45.28,2,8,51.23,52.1,5.0,6,11.7,Deep Learning,Easy,1
STU00034,19,Master,Data Scientist,Beginner,4.6,Reading/Writing,100.0,64.1,43.76,46.11,38.97,10.89,43.31,14.13,53.0,17.18,10.37,34.14,14.92,37.01,26.56,34.79,50.44,43.95,70.55,67.9,50.43,41.21,31.98,15.06,7.78,0.0,5,41.08,5,7,58.47,33.97,17.0,3,14.0,Git,Medium,1
STU00035,27,High School,ML Engineer,Intermediate,27.6,Kinesthetic,71.94,95.03,31.85,24.65,57.89,47.31,47.37,7.9,16.96,12.14,33.94,12.4,21.57,4.42,22.68,36.98,67.8,44.23,53.85,38.86,45.58,56.78,23.25,24.04,18.09,60.83790046278316,51,25.81,5,2,61.44,5.87,13.0,9,7.4,Git,Medium,3
STU00036,17,Bachelor,Software Engineer,Beginner,17.53,Kinesthetic,53.65,56.83,27.11,21.29,39.7,35.2,23.6,37.69,34.04,38.42,38.0,22.69,28.31,5.78,2.98,15.89,47.15,28.47,20.14,37.84,6.61,8.81,48.38,33.62,4.15,0.0,5,32.65,4,4,67.61,68.57,6.0,12,7.2,Python,Medium,2
STU00037,27,Master,Software Engineer,Intermediate,26.18,Kinesthetic,24.2,25.13,53.76,62.73,66.8,27.45,43.93,38.64,49.31,26.96,21.85,37.94,41.65,28.74,35.06,16.58,18.65,14.37,45.84,34.65,18.62,0.0,96.44,59.15,26.68,35.2481373791204,11,58.06,6,4,73.53,43.33,0.0,12,27.8,Linux,Hard,1
STU00038,22,Master,ML Engineer,Beginner,8.98,Kinesthetic,60.85,15.9,28.39,68.93,65.9,51.42,54.81,29.17,43.16,21.32,8.07,10.3,21.84,0.0,47.69,48.6,64.43,22.4,63.65,43.82,70.41,42.17,53.62,17.77,10.99,18.1358617221846,7,50.8,2,13,21.05,58.19,3.0,12,22.6,Deep Learning,Medium,2
STU00039,23,High School,Software Engineer,Beginner,14.84,Visual,70.07,54.55,38.9,34.19,80.28,53.36,48.24,30.3,22.81,27.2,31.03,18.49,18.64,17.99,16.37,16.16,34.91,40.53,11.34,8.87,20.85,14.17,48.69,28.04,15.65,22.210843957847505,6,24.76,2,5,21.89,51.56,2.0,6,16.9,Python,Hard,2
STU00040,22,Master,Backend Developer,Intermediate,8.4,Auditory,44.16,76.64,75.6,89.35,51.75,74.01,36.31,63.67,20.88,34.85,65.7,71.51,24.94,24.15,41.9,65.07,31.83,22.73,18.54,0.0,0.0,5.62,63.66,46.81,31.56,54.70887634440337,7,43.76,11,8,38.98,22.7,9.0,3,26.3,SQL,Medium,2
STU00041,24,Master,ML Engineer,Beginner,18.02,Visual,75.24,58.09,23.92,53.3,56.49,23.23,29.74,19.05,33.77,29.45,31.73,20.74,34.16,32.14,41.73,3.89,69.27,66.75,57.16,42.71,51.69,22.84,30.09,18.28,0.0,12.361682256426766,10,18.98,1,4,39.93,82.13,5.0,12,30.6,Git,Easy,3
STU00042,27,Associate,Unknown,Intermediate,31.17,Auditory,45.11,62.99,93.32,65.6,52.48,35.85,36.3,62.28,56.41,16.35,53.03,45.38,33.98,32.0,75.66,42.97,33.08,46.78,24.52,33.22,27.32,0.07,60.8,75.49,57.19,48.87749168754653,19,50.66,5,2,80.07,71.76,14.0,6,17.3,Python,Medium,2
STU00043,24,High School,Backend Developer,Beginner,30.22,Kinesthetic,67.26,84.02,55.7,68.47,57.61,83.74,26.16,35.34,31.37,4.05,16.12,27.37,21.11,21.3,46.25,46.7,18.99,16.68,41.31,16.47,22.34,2.86,45.48,58.24,28.9,11.73124805537848,5,65.55,2,0,31.64,52.27,4.0,6,21.2,SQL,Medium,1
STU00044,19,Associate,Data Scientist,Beginner,12.43,Reading/Writing,59.95,50.18,49.27,65.49,37.35,36.29,60.57,44.89,33.37,14.57,31.44,20.99,18.83,22.66,18.5,40.83,45.98,55.3,28.53,26.6,51.44,57.51,30.84,26.42,16.42,18.400113541114692,48,33.21,2,4,63.6,46.63,5.0,3,6.4,Git,Easy,2
STU00045,31,Associate,Full Stack Developer,Intermediate,18.93,Reading/Writing,44.28,34.58,79.23,62.46,43.95,48.06,51.53,40.83,29.66,28.43,22.9,38.74,59.49,30.12,38.45,61.39,35.84,34.91,7.14,17.33,2.53,25.6,89.37,40.46,50.16,25.77682366553674,10,15.9,0,11,55.3,85.33,6.0,3,13.5,Git,Medium,2
STU00046,23,Associate,Full Stack Developer,Advanced,16.6,Kinesthetic,62.59,45.68,95.89,58.2,67.82,63.17,68.94,52.07,28.81,11.4,23.79,17.36,22.91,36.35,53.67,69.83,34.96,47.55,36.17,8.78,16.67,36.33,41.38,19.38,17.39,18.861548661722903,12,41.08,6,6,36.25,63.01,0.0,2,18.2,SQL,Medium,4
STU00047,17,Bachelor,Data Scientist,Beginner,13.23,Kinesthetic,80.17,74.67,69.58,29.96,68.63,23.5,48.61,6.38,55.91,38.51,10.08,31.33,4.03,21.42,49.99,20.92,35.84,42.03,72.02,47.94,22.41,51.24,11.85,12.98,34.46,6.009132618204629,6,65.68,6,4,44.93,34.14,6.0,12,6.0,Computer Vision,Medium,1
STU00048,27,Bachelor,Data Scientist,Beginner,15.75,Visual,38.2,79.54,66.64,16.9,28.41,46.26,50.46,53.23,28.68,35.26,27.6,32.53,26.92,20.0,54.1,22.69,37.51,36.9,26.2,49.1,37.42,27.54,52.34,33.0,25.71,23.314208308067823,8,56.33,0,3,33.72,58.61,8.0,3,11.9,Deep Learning,Medium,1
STU00049,28,Master,Backend Developer,Intermediate,7.66,Auditory,53.35,49.79,47.52,88.71,50.27,27.79,44.81,73.06,33.53,15.56,31.12,43.56,24.77,56.34,66.84,63.88,73.09,8.99,19.03,19.04,19.36,2.85,74.14,70.9,73.14,11.572422167256242,33,19.74,0,6,55.05,54.22,11.0,3,13.5,System Design,Medium,1
STU00050,44,Bachelor,Software Engineer,Advanced,4.84,Kinesthetic,24.32,98.38,36.53,24.94,64.41,60.56,82.53,43.35,32.12,49.94,69.31,32.25,29.04,20.7,80.3,59.47,37.89,10.54,0.0,55.95,11.47,18.47,51.19,71.33,48.27,18.27065708423673,72,56.51,13,10,64.63,60.91,0.0,12,8.2,Python,Easy,3
STU00051,28,Bachelor,Software Engineer,Intermediate,15.78,Auditory,53.7,66.79,26.74,49.57,72.63,49.46,40.57,49.7,67.96,37.16,13.4,12.52,0.0,1.0,19.04,34.45,0.0,13.23,27.26,26.87,36.79,0.0,62.2,45.78,0.0,13.51051550562276,19,71.66,1,6,56.795,45.53,3.0,12,7.1,SQL,Medium,4
STU00052,26,Master,Software Engineer,Intermediate,6.31,Kinesthetic,69.95,45.92,58.19,57.14,62.32,29.04,48.2,16.18,32.01,30.73,45.11,19.08,38.38,34.21,26.44,2.75,23.81,57.25,18.91,29.58,15.59,18.14,23.06,40.11,28.46,16.566974568856548,380,52.79,1,2,57.74,67.89,0.0,3,11.4,RAG,Medium,2
STU00053,26,Bachelor,Full Stack Developer,Beginner,7.32,Auditory,43.89,48.61,53.76,66.7,39.02,24.69,62.36,29.73,24.77,19.05,11.62,14.08,41.34,23.97,65.48,57.24,17.38,42.0,18.55,25.75,5.88,7.06,53.38,68.99,44.49,0.0,12,19.3,5,5,78.79,65.88,5.0,12,13.0,Microservices,Hard,2
STU00054,30,Bachelor,Backend Developer,Intermediate,9.35,Auditory,72.88,45.3,41.42,71.45,53.39,21.66,57.61,33.37,28.97,13.24,23.72,49.24,16.81,0.66,50.14,100.0,19.46,36.35,14.42,35.03,14.36,0.0,74.16,58.46,29.8,63.91791998923622,23,69.77,7,6,86.66,36.36,1.0,12,15.7,SQL,Easy,2
STU00055,31,High School,Backend Developer,Intermediate,30.03,Auditory,66.66,74.52,37.79,62.65,43.38,0.0,60.49,34.42,76.24,37.74,41.52,42.08,44.42,30.45,40.15,36.53,45.62,80.0,53.2,54.76,67.54,48.24,67.73,37.63,32.46,19.029284255274224,19,52.65,4,0,53.32,56.21,6.0,12,9.1,SQL,Medium,3
STU00056,23,Bachelor,Full Stack Developer,Intermediate,11.7,Reading/Writing,69.51,24.7,92.04,98.35,10.59,49.63,22.15,44.12,25.43,30.88,54.45,63.98,22.74,34.85,65.17,32.57,23.95,34.42,22.54,0.0,24.15,2.15,83.94,40.69,63.0,31.82196752046485,15,28.22,0,6,81.71,10.85,3.0,6,14.7,Microservices,Medium,4
STU00057,25,Master,ML Engineer,Intermediate,7.17,Visual,47.18,72.8,2.41,32.98,43.11,42.19,26.16,17.89,86.9,33.61,17.8,27.73,28.41,37.5,26.52,30.02,74.54,63.46,48.37,17.18,56.82,33.1,42.22,11.21,14.61,32.638807248033686,18,62.0,2,4,39.51,52.0,9.0,3,17.5,React,Hard,1
STU00058,30,Bachelor,Frontend Developer,Intermediate,5.81,Kinesthetic,49.54,18.03,100.0,88.43,69.73,49.37,23.21,35.18,41.41,38.42,24.85,69.06,69.8,42.91,22.08,36.28,42.22,23.18,42.11,27.0,3.81,28.69,37.21,19.83,69.06,0.1771495586534428,145,41.08,8,3,58.47,84.53,40.0,6,6.9,Next.js,Easy,3
STU00059,31,Master,Software Engineer,Intermediate,10.95,Kinesthetic,65.97,57.53,65.86,23.52,45.31,54.46,27.57,44.93,61.76,30.3,33.68,0.0,56.13,40.71,25.96,28.55,50.18,32.51,30.82,9.82,68.48,55.09,84.62,44.89,33.48,0.0,14,82.01,1,4,72.06,45.23,9.0,9,10.8,Data Visualization,Medium,1
STU00060,26,Master,Software Engineer,Beginner,10.7,Visual,44.62,61.2,32.46,28.58,65.38,66.8,40.56,35.03,42.98,25.7,23.45,24.12,53.18,15.28,17.32,16.49,7.5,25.01,27.77,21.79,19.41,13.28,24.64,27.91,9.49,26.766517940058822,43,38.12,4,7,28.38,40.67,5.0,3,15.0,Git,Medium,1
STU00061,18,Bachelor,Backend Developer,Beginner,6.04,Reading/Writing,22.37,26.3,63.71,51.37,41.15,30.93,42.84,55.06,34.56,2.72,37.45,43.94,17.83,19.81,58.78,67.04,32.99,10.6,40.66,0.0,0.13,0.0,68.23,40.33,22.77,20.939421457419748,21,101.38,0,2,56.795,62.89,7.0,2,12.5,SQL,Easy,1
STU00062,39,Bachelor,ML Engineer,Advanced,13.2,Kinesthetic,100.0,38.63,49.72,58.65,52.54,35.19,54.58,41.79,72.9,45.22,36.84,29.95,50.06,44.0,70.04,58.97,53.51,66.71,48.04,55.39,84.88,57.82,70.95,63.67,19.81,40.83411781475462,21,15.49,1,9,64.73,88.1,3.0,12,24.3,Deep Learning,Easy,4
STU00063,22,Master,Frontend Developer,Beginner,4.54,Visual,70.75,52.41,62.63,36.78,76.63,33.9,13.45,31.08,13.02,21.8,24.71,89.28,45.89,57.76,30.55,8.53,32.65,23.3,3.84,8.79,23.18,11.07,28.95,5.63,38.26,35.04363212575392,14,126.83,2,12,85.77,66.18,4.0,24,3.7,React,Easy,4
STU00064,24,Bachelor,Full Stack Developer,Beginner,6.38,Visual,78.67,58.33,66.86,95.96,40.71,53.73,9.59,47.87,18.26,9.04,33.84,39.64,22.39,0.0,42.53,51.8,33.35,40.48,6.86,7.75,25.26,0.0,65.07,37.93,41.87,34.307617085210175,25,49.35,3,1,22.71,50.09,5.0,3,12.3,SQL,Easy,1
STU00065,21,High School,Frontend Developer,Intermediate,27.58,Reading/Writing,20.14,25.89,69.21,43.49,79.21,32.02,73.7,50.24,40.15,19.82,9.66,68.62,59.89,51.7,26.5,3.34,34.73,13.98,23.92,15.4,0.0,0.0,30.96,25.64,8.98,33.76263715114528,24,78.26,4,5,32.7,57.96,10.0,6,5.6,Next.js,Medium,4
STU00066,22,Master,Frontend Developer,Intermediate,6.04,Kinesthetic,50.54,47.12,87.7,56.57,40.86,70.98,23.1,55.6,46.34,25.83,49.94,86.11,90.27,58.36,1.16,6.09,17.65,15.8,18.39,0.0,0.0,7.44,41.91,16.66,16.43,29.69230530054943,54,72.87,4,4,40.62,27.58,12.0,9,21.4,Next.js,Easy,1
STU00067,26,Associate,Frontend Developer,Intermediate,11.23,Visual,46.39,63.91,84.36,42.7,64.73,44.46,61.6,85.63,29.81,34.46,5.61,100.0,77.23,69.7,45.16,1.39,18.66,38.36,43.26,22.77,27.91,25.82,55.08,13.8,21.57,25.743535304083863,24,18.49,2,11,45.88,30.07,10.0,9,5.0,React,Medium,4
STU00068,28,Associate,Unknown,Intermediate,15.32,Visual,56.6,79.64,67.13,31.0,44.09,71.2,61.96,18.61,44.78,33.53,26.84,18.1,17.34,51.66,35.48,16.04,66.0,13.64,71.88,55.12,80.18,57.93,31.79,36.61,27.14,34.687329354907334,13,28.2,9,10,65.98,64.75,2.0,12,10.7,Deep Learning,Easy,1
STU00069,19,Associate,Software Engineer,Beginner,36.25,Auditory,57.22,44.51,65.21,28.61,30.63,47.72,66.89,27.44,53.74,34.14,20.03,18.99,51.56,30.54,18.67,7.06,37.68,39.71,37.54,20.19,26.0,8.5,54.7,6.4,34.17,30.875965420549917,16,25.82,3,6,80.51,20.74,8.0,18,9.8,AI Agents,Easy,1
STU00070,17,Associate,ML Engineer,Beginner,30.33,Reading/Writing,87.28,63.89,32.36,52.68,21.79,47.59,61.11,31.26,46.82,11.38,24.15,30.65,9.43,32.79,47.41,18.84,26.66,34.59,46.07,50.78,51.54,28.16,36.43,10.32,18.18,41.88469979052576,22,32.57,3,10,56.795,74.14,10.0,3,18.9,Git,Medium,1
STU00071,27,Bachelor,Software Engineer,Beginner,17.97,Reading/Writing,49.12,7.4,33.43,47.07,70.68,27.07,43.39,43.06,44.01,22.48,20.67,11.65,20.94,35.08,12.07,28.51,17.13,11.51,27.8,0.0,0.0,0.0,60.44,40.29,32.31,11.796465710763629,7,110.05,1,12,100.0,74.7,2.0,9,12.4,Linux,Easy,1
STU00072,34,Bachelor,ML Engineer,Intermediate,6.37,Visual,100.0,55.57,45.35,0.0,38.88,25.38,30.8,31.02,40.85,7.54,30.83,30.08,20.24,38.09,65.97,18.76,65.12,38.95,67.44,64.57,73.98,40.48,39.21,16.39,9.58,0.0,3,39.43,3,5,66.97,85.47,16.0,3,12.3,Deep Learning,Medium,2
STU00073,24,Associate,AI Engineer,Beginner,6.85,Auditory,39.11,76.05,45.98,56.41,24.05,47.72,41.67,45.55,40.3,23.08,23.49,25.61,21.19,31.65,25.99,40.23,62.16,45.01,60.64,34.63,45.4,36.64,28.03,3.53,8.3,20.42532159554731,9,75.45,3,8,71.44,67.52,7.0,12,5.3,Git,Medium,2
STU00074,26,Master,Software Engineer,Intermediate,9.13,Auditory,62.03,51.21,36.28,41.92,48.8,34.2,30.3,51.85,43.36,30.53,12.93,32.55,17.81,31.31,21.06,0.0,48.81,34.63,22.02,16.0,12.24,24.16,52.68,41.55,22.0,14.540197993395829,33,37.26,8,9,60.18,73.48,11.0,9,25.8,Git,Medium,1
